PRIDE	RAW file	RAW file version	Creation date	Operator	Number of instruments	Description	Instrument model	Instrument name	Serial number	Software version	major	minor	Firmware version	Units	Mass resolution	Number of scans	Number of ms2 scans	Scan range	Time range	Mass range	Scan filter (first scan)	Scan filter (last scan)	Total number of filters	Sample name	Sample id	Sample type	Sample comment	Sample vial	Sample volume	Sample injection volume	Sample row number	Sample dilution factor	Sample barcode	Title	Repos	Species	Instrument	Publication	LabHead	Announce.Date	year	month	day	Keywords
PXD011413	.temp.raw	66	04/04/2018 12:35:53	Orbitrap Lumos	1		Orbitrap Fusion Lumos	Orbitrap Fusion Lumos	FSN20320	2.1.1565.23	2	1		None	0.500	81665	71661	1-81665	0-75	120-2000	FTMS + c NSI Full ms [300.0000-1400.0000]	ITMS + c NSI r d Full ms2 834.9279@hcd28.00 [120.0000-1680.0000]	8380			Unknown		H4	0	5	0	1		Mir-146a wild-type 3ʹ sequence identity is dispensable for proper innate immune function in vivo	PRIDE	Olea europaea (Common olive), Pan troglodytes , Arachis hypogaea , Arabidopsis thaliana (Mouse-ear cress), Candida albicans , Ricinus communis (Castor bean), Halobacterium salinarum, Brassica napus , Acyrthosiphon pisum (Pea aphid), Equus caballus , Mesoc	Orbitrap Fusion Lumos	Saltzman et al. (2018)	Joel Neilson	2019-02-15	2019	02	15	Biological, Mir-146a, miRNA, mouse, 
PXD011415	.temp.raw	66	15/03/2018 12:29:55	Orbitrap Fusion	3		Orbitrap Fusion Lumos	Orbitrap Fusion Lumos	CA2-MP22	2.1.1565.24	2	1		None	0.500	50111	21223	1-50111	0-120	99-2000	FTMS + p NSI Full ms [380.0000-1500.0000]	FTMS + p NSI Full ms [380.0000-1500.0000]	23438		RA2	Unknown		RB2	0	5	1	1		piRNA-guided co-transcriptional silencing coopts nuclear export factors	PRIDE	Drosophila melanogaster (Fruit fly)	Orbitrap Fusion Lumos	Fabry et al. (2019)	Gregory J Hannon	2019-06-20	2019	06	20	piRNA transposons piwi nuclear export, 
PXD011464	.temp.raw	66	03/04/2017 17:09:45	Orbitrap Fusion	1		Orbitrap Fusion	Orbitrap Fusion	FSN10152	2.1.1565.23	2	1		None	0.500	46496	21617	1-46496	0-119.99	100-2000	FTMS + c NSI Full ms [350.0000-1400.0000]	FTMS + c NSI Full ms [350.0000-1400.0000]	25591	pm_P_05	  	Unknown		c5	0	0.5	0	1		Integrative MHC-I peptidome quantitation with isobaric tagging mass spectrometry	PRIDE	Homo sapiens 	Orbitrap Fusion	Murphy et al. (2019)	Shashi Gujar	2019-03-05	2019	03	05	MHC-I peptidomics, Source Proteome, 
PXD011478	.temp.raw	66	01/10/2016 12:15:20	Orbitrap Fusion	1		Orbitrap Fusion	Orbitrap Fusion	FSN10163	2.0.1258.15	2	0		None	0.500	41115	31903	1-41115	0-76	110-2000	FTMS + c NSI Full ms [300.0000-1500.0000]	FTMS + c NSI Full ms [300.0000-1500.0000]	5363		A2	Unknown		F6	0	2.5	13	1		High-throughput identification of FLT3 wild-type and mutant kinase substrate preferences and application to design of sensitive in vitro kinase assay substrates	PRIDE	Homo sapiens 	Orbitrap Fusion	Perez et al. (2018)	Laurie L. Parker	2019-01-07	2019	01	07	Acute myeloid Leukemia, FLT3, Mass spectrometry, phosphoproteomics, kinase assay linked with phosphoproteomics, 
PXD011484	.temp.raw	66	29/11/2017 23:54:47	orbitrap	3		Orbitrap Fusion	Orbitrap Fusion	FSN10214	2.1.1565.23	2	1		None	0.500	56681	50687	1-56681	10.01-77.03	77-2000	FTMS + p NSI Full ms [300.0000-1800.0000]	ITMS + c NSI r d Full ms2 672.0339@hcd30.00 [130.0000-1355.0000]	16639			Unknown	10/35ul	RC1	0	11.5	1	1		Biochemical specialization of an ATG8 isoform in Nicotiana benthamiana	PRIDE	Nicotiana benthamiana	Orbitrap Fusion	Zess et al. (2019)	Jan Sklenar	2019-11-12	2019	11	12	Autophagy, ATG8, PexRD54, Phytophthora infestans, Nicotiana benthamiana, 
PXD011519	.temp.raw	66	14/12/2017 20:33:09	Lumos	2		Orbitrap Fusion Lumos	Orbitrap Fusion Lumos	FSN20187	2.0.1258.15	2	0		None	0.500	11316	7028	1-11316	18.02-57.5	100-2000	FTMS + c NSI Full ms [300.0000-1500.0000]	FTMS + c NSI Full ms [300.0000-1500.0000]	2666	Thomas M1718-021 Gel 3, GP54 2ul, trypsin, slice B3, 5ul, RA3	1	StdBracket	3% hold 15min_600nl/min then 3 to 42 in 30 400nl/min Quad_iso cOT_TS_cIT_rapid_100ms_ddHCD (170830 STW MSL column 15+ cm)	RA3	0	5	3	1		Mass spectrometry of Phage PhiKZ gp54 with the prohead protease gp175	PRIDE	Pseudomonas phage phiKZ	Orbitrap Fusion Lumos	Weintraub et al. (2019)	Julie Thomas	2018-11-21	2018	11	21	Biological, Pseudomonas phage PhiKZ, prohead protease, 
PXD011533	.temp.raw	66	19/01/2017 12:54:50	LUMOS03	2		Orbitrap Fusion Lumos	Orbitrap Fusion Lumos	AHK-01-0520150046	2.1.2868	2	1		None	0.500	19858	15310	1-19858	0-89.99	120-2000	FTMS + p NSI Full ms [350.0000-1800.0000]	FTMS + p NSI Full ms [350.0000-1800.0000]	8307		RA1	Unknown		RC2	0	2	1	1		Glycoproteomics with AI-ETD	PRIDE	Mus musculus 	Orbitrap Fusion Lumos	Riley et al. (2019)	Joshua J. Coon	2019-04-02	2019	04	02	electron transfer dissociation, glycosylation, glycopeptides, 
PXD011555	.temp.raw	66	21/07/2017 20:56:02	Orbitrap_Fusion	4		Orbitrap Fusion	Orbitrap Fusion	FSN10399	2.1.1565.23	2	1		None	0.500	75265	67392	1-75265	3.02-85	98-2000	FTMS + p NSI Full ms [375.0000-1500.0000]	FTMS + p NSI Full ms [375.0000-1500.0000]	8241			Unknown		BE1	0	5	0	0		A �omic� approach to Pyrocystis lunula	PRIDE	Pyrocystis lunula	Orbitrap Fusion	Fajardo et al. (2019)	Francisco Javier Fern�ndez Acero	2019-04-12	2019	04	12	Pyrocystis lunula, transcriptomics, proteomics, LBP, bioluminiscence, 
PXD011614	.temp.raw	66	17/09/2016 02:56:08	Orbitrap Fusion	1		Orbitrap Fusion Lumos	Orbitrap Fusion Lumos	CA2-MP11	2.0.1258.15	2	0		None	0.500	75486	64062	1-75486	0-140	140-2000	FTMS + p NSI Full ms [350.0000-1500.0000]	FTMS + p NSI Full ms [350.0000-1500.0000]	10511		A2	Unknown		B8	0	1	8	1		Protein-based Cardiogenic Shock Patient Classifier	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Rueda et al. (2019)	Eduard Sabid�	2020-11-16	2020	11	16	Biomedical, Cradiogenic shock, proteomics, 
PXD011628	.temp.raw	66	10/10/2016 05:02:00	Orbitrap_Lumos	5		Orbitrap Fusion Lumos	Orbitrap Fusion Lumos	CA2-MP12	2.0.1258.15	2	0		None	0.500	30140	24862	1-30140	12.01-120.01	105-1960	FTMS + c NSI Full ms [400.0000-650.0000]	FTMS + c NSI d Full ms2 567.2863@cid35.00 [151.0000-1145.0000]	1255		1	Unknown		GA1	0	5	15	1		MHCquant: Automated and reproducible data analysis for immunopeptidomics	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Bassani-Sternberg et al. (2016); Bichmann et al. (2019)	Professor Oliver Kohlbacher	2019-10-14	2019	10	14	Biological, Biomedical, Human, MHC, Benchmark, 
PXD011697	.temp.raw	66	22/03/2017 07:55:40	Lumos	2		Orbitrap Fusion Lumos	Orbitrap Fusion Lumos	FSN20187	2.0.1258.15	2	0		None	0.500	79110	71066	1-79110	18.01-147.52	100-2000	FTMS + p NSI Full ms [300.0000-1500.0000]	ITMS + c NSI r d Full ms2 1144.5603@hcd30.00 [100.0000-2000.0000]	8021	Thomas M1617-051 Phage 20, slice F6, 2hr, GB6	1	StdBracket	3% hold 15min_600nl/min then 3 to 42 in 120 400nl/min Quad_iso cOT_TS_cIT_rapid_100ms_ddHCD (170125 STW MSL column 15+ cm)	GB6	0	5	5	1		Global proteomic profiling of Salmonella infection by a giant phage	PRIDE	Salmonella phage SPN3US	Orbitrap Fusion Lumos	Weintraub et al. (2019)	Julie Thomas	2018-11-21	2018	11	21	Salmonella, phage SPN3US, infection, 
PXD011731	.temp.raw	66	11/02/2017 04:19:20	Orbitrap_Lumos	4		Orbitrap Fusion Lumos	Orbitrap Fusion Lumos	FSN20275	2.0.1258.15	2	0		None	0.500	150495	137988	1-150495	0.01-150	110-2000	FTMS + p NSI Full ms [375.0000-1500.0000]	ITMS + c NSI r d Full ms2 583.0989@hcd30.00 [110.0000-1177.0000]	14601		1	Unknown		RA8	0	4	21	1		Differential modification of the C. elegans proteome in response to acute and chronic gamma radiation: link with reproduction decline	PRIDE	Caenorhabditis elegans	Orbitrap Fusion Lumos	Dubois et al. (2019)	Luc Camoin	2020-10-15	2020	10	15	Biomedical, Gamma radiation, Caenorhabditis elegans,label-free quantification, LC-MS, 
PXD011736	.temp.raw	66	05/02/2017 08:38:37	Fusion	2		Orbitrap Fusion	Orbitrap Fusion	FSN10134	2.1.1565.23	2	1		None	0.500	85523	49334	1-85523	0-280	120-2000	FTMS + p NSI Full ms [300.0000-1600.0000]	ITMS + c NSI r d Full ms2 437.9542@hcd28.00 [120.0000-448.0000]	9215		1:A,2	Unknown		2:B,2	0	1	10	1		Folliculin regulates mTORC1/2 and WNT pathways in early human pluripotency	PRIDE	Homo sapiens 	Orbitrap Fusion	Mathieu et al. (2019)	Hannele Ruohola-Baker	2019-02-13	2019	02	13	Biological, Folliculin, mTOR, 
PXD011743	.temp.raw	66	22/12/2016 11:22:11	fusionlumos	5		Orbitrap Fusion Lumos	Orbitrap Fusion Lumos	CA2-MP10	2.0.1258.14	2	0		None	0.500	27460	21495	1-27460	0-103	98-2000	FTMS + p NSI Full ms [375.0000-1500.0000]	ITMS + c NSI r d Full ms2 745.1909@cid35.00 [200.0000-1501.0000]	5117		gb1	Unknown		gb1	0	7	0	1		Molecular insights into an ancient form of Paget disease of bone	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Shaw et al. (2019)	Roman Fischer	2019-04-09	2019	04	09	Biomedical, paleoproteomics, paget disease, SQSTM1, p62, osteosarcoma, 
PXD011767	.temp.raw	66	11/04/2017 17:15:37	Orbitrap Fusion	1		Orbitrap Fusion	Orbitrap Fusion	FSN10315	2.1.1565.23	2	1		None	0.500	86482	70823	1-86482	0-135	110-2000	FTMS + p NSI Full ms [375.0000-1500.0000]	FTMS + c NSI d Full ms2 1193.1316@hcd30.00 [110.0000-2000.0000]	9331		1	Unknown		D1	0	5	0	1		EGR1 regulation in human bone marrow stromal cells	PRIDE	Homo sapiens 	Orbitrap Fusion	Li et al. (2019)	Jenny Hansson	2019-06-27	2019	06	27	Biological, Human, bone marrow, stromal cells, 
PXD011771	.temp.raw	66	12/02/2017 06:31:15	Orbitrap_Lumos	4		Orbitrap Fusion Lumos	Orbitrap Fusion Lumos	FSN20113	2.1.1565.18	2	1		None	0.500	74524	48741	1-74524	0-180	98-2000	FTMS + p NSI Full ms [375.0000-1500.0000]	FTMS + p NSI Full ms [375.0000-1500.0000]	5784		05	Unknown		RF8	0	1.4	4	1		Laboratory evolution of Escherichia coli enables life based on fluorinated amino acids	PRIDE	Escherichia coli	Orbitrap Fusion Lumos	Dataset with its publication pending	Juri Rappsilber	2020-11-23	2020	11	23	Biological, E coli, Evolution, Fluorine, noncanonical, SILAC, Multi-Omics, 
PXD011815	.temp.raw	66	22/07/2017 19:49:49	Orbitrap Fusion	1		Orbitrap Fusion	Orbitrap Fusion	CAL-MP17	2.0.1258.15	2	0		None	0.500	20473	17007	1-20473	0-40	100-2000	FTMS + p NSI Full ms [350.0000-1550.0000]	FTMS + c NSI d Full ms2 702.3859@hcd35.00 [100.0000-1415.0000]	5675		1	Unknown		E3	0	2	9	1		Photosynthesis Degeneration is Elaborately Regulated during Blueberry Fruit Maturation	PRIDE	Vaccinium angustifolium	Orbitrap Fusion	Dataset with its publication pending	Xiaobai LI	2019-05-13	2019	05	13	Blueberry,Photosynthesis Degeneration,fruit maturation, 
PXD011842	.temp.raw	66	16/03/2017 07:30:16	Fusion	1		Orbitrap Fusion	Orbitrap Fusion	FSN10304	2.1.1565.23	2	1		None	0.500	66025	60919	1-66025	0-110.01	110-2000	FTMS + p NSI Full ms [300.0000-1500.0000]	ITMS + c NSI r d Full ms2 1304.4214@hcd30.00 [110.0000-2000.0000]	10266		B4	Unknown		A8	0	1	1	1		Use of rare-earth elements in the phyllosphere colonizer Methylobacterium extorquens PA1	PRIDE	Methylobacterium extorquens PA1	Orbitrap Fusion	Ochsner et al. (2019)	Julia A. Vorholt	2019-01-21	2019	01	21	Biological, Rare earth metals, Methylobacterium extorquens, Methanol, Arabidopsis, Proteomics, Ion transport, 
PXD011851	.temp.raw	66	10/11/2017 12:15:19	Orbitrap Fusion	3		Orbitrap Fusion	Orbitrap Fusion	FSN10288	2.1.1565.18	2	1		None	0.500	73898	32383	1-73898	0-145	100-2000	FTMS + p NSI Full ms [400.0000-1600.0000]	FTMS + p NSI Full ms [400.0000-1600.0000]	33653		1	Unknown		RC3	0	15	10	1		Mitochondrial mutant Caenorhabditis elegans Proteome	PRIDE	Caenorhabditis elegans	Orbitrap Fusion	Gioran et al. (2019)	Daniele Bano	2019-02-13	2019	02	13	Biological, Caenorhabditis elegans, mitochondria, mitochondrial deficiency, Complex I, insulin signaling, IIS, metabolism, 
PXD011896	.temp.raw	66	18/11/2016 06:34:25	lcms	1		Orbitrap Fusion	Orbitrap Fusion	FSN10406	2.0.1258.15	2	0		None	0.500	32879	15361	1-32879	0-90.06	110-2000	FTMS + c NSI Full ms [500.0000-1200.0000]	FTMS + c NSI sps d Full ms3 738.9567@cid30.00 498.5193@hcd50.00 [110.0000-922.0000]	19436	SH783	OF10000001	QC		D5	0	2	21	1		Small cell lung cancer cell line panel whole proteome analysis	PRIDE	Homo sapiens 	Orbitrap Fusion	Mahoney et al. (2019)	Sebastian Hayes	2019-01-09	2019	01	09	Biomedical, Small Cell Lung Cancer, LC-MSMS, tanden mass tags, 
PXD011930	.temp.raw	66	10/03/2018 07:39:22	RS-BT-PROTEOMICS	3		Orbitrap Fusion	Orbitrap Fusion	FSN10128	2.1.1565.23	2	1		None	0.500	56398	25309	1-56398	8-155.01	100-2000	FTMS + p NSI Full ms [400.0000-1600.0000]	FTMS + c NSI sps d Full ms3 967.9471@cid35.00 435.9916@hcd65.00 [100.0000-500.0000]	29760	Drosophilla TMT10plex	1	Unknown		RD5	0	10	0	1		Calcineurin dependent protein phosphorylation changes during egg activation in Drosophila melanogaster	PRIDE	Drosophila melanogaster (Fruit fly)	Orbitrap Fusion	Dataset with its publication pending	Mariana Wolfner	2019-03-13	2019	03	13	Drosophila melanogaster, egg activation, calcineurin, phosphorylation, 
PXD011933	.temp.raw	66	16/03/2017 22:40:55	Orbitrap Fusion	1		Orbitrap Fusion	Orbitrap Fusion	FSN10152	2.1.1565.23	2	1		None	0.500	37978	16472	1-37978	0-149.99	100-2000	FTMS + c NSI Full ms [350.0000-1400.0000]	FTMS + c NSI Full ms [350.0000-1400.0000]	18176	HV_SDS_03	  	Unknown		A3	0	4	2	1		Human pancreatic endocrine cells, LC-MS3	PRIDE	Homo sapiens 	Orbitrap Fusion	Furuyama et al. (2019)	Pedro L. Herrera	2019-02-15	2019	02	15	Biological, Human, endocrine cells, TMT 11-plex, LC-MS3, 
PXD011962	.temp.raw	66	20/01/2017 04:15:42	Fusion	2		Orbitrap Fusion	Orbitrap Fusion	FSN10134	2.1.1565.23	2	1		None	0.500	198004	173972	1-198004	0-279.99	120-2000	FTMS + p NSI Full ms [300.0000-1600.0000]	FTMS + p NSI Full ms [300.0000-1600.0000]	17797		1:A,2	Unknown		2:B,3	0	1	8	1		Metabolism as an early predictor of DPSCs aging	PRIDE	Homo sapiens 	Orbitrap Fusion	Macrin et al. (2019)	Hannele Ruohola-Baker	2019-11-12	2019	11	12	Biological, aging stem cell, 
PXD011995	.temp.raw	66	12/06/2018 22:26:03	Orbitrap Fusion	1		Orbitrap Fusion	Orbitrap Fusion	FSN10360	2.1.1565.23	2	1		None	0.500	31323	23657	1-31323	0-60	105-2000	FTMS + p NSI Full ms [400.0000-1500.0000]	FTMS + p NSI Full ms [400.0000-1500.0000]	4927		NAC_AASANA_II_F5	Unknown		E4	0	4	3	1		Early Scanning of Nascent Polypeptides inside the Ribosomal Tunnel by NAC	PRIDE	Caenorhabditis elegans, Homo sapiens 	Orbitrap Fusion	Gamerdinger et al. (2019)	Florian Stengel	2019-07-25	2019	07	25	Technical, NAC, structural mass spectrometry, q-XL-MS, UV-crosslinking, 
PXD012043	.temp.raw	66	11/07/2015 23:12:39	Orbitrap Fusion	1		Orbitrap Fusion Lumos	Orbitrap Fusion Lumos	CA-MP07	2.0.1258.5	2	0		None	0.500	95250	44665	1-95250	0-179.99	100-2000	FTMS + c NSI Full ms [400.0000-1400.0000]	FTMS + c NSI Full ms [400.0000-1400.0000]	48276	rae_Cardio_Day1_5treatments	A1	Unknown		B8	0	3.4	4	1		Total protein profiles of human induced pluripotent stem cell-derived cardiomyocytes in response to four tyrosine kinase inhibitors	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Wang et al. (2019)	Peter K. Sorger	2019-05-16	2019	05	16	Biomedical, drug adaptation, tyrosine kinase inhibitor, human induced pluripotent stem cell-derived cardiomyocyte, cardiotoxicity, aerobic glycolysis, mitochondrial respiration, Tandem Mass Tag Mass Spectrometry, 
PXD012058	.temp.raw	66	15/12/2016 22:19:48	Orbitrap Fusion	6		Orbitrap Fusion	Orbitrap Fusion	FSN10171	2.1.1565.23	2	1		None	0.500	63734	27140	1-63734	0-264.99	91-2000	FTMS + p NSI Full ms [350.0000-1400.0000]	FTMS + p NSI Full ms [350.0000-1400.0000]	29069			Unknown		RB8	0	15	7	1		Defining the T cell proteome and the role of mTORC1 during differentiation using quantitative proteomics	PRIDE	Mus musculus 	Orbitrap Fusion	Sinclair et al. (2019)	Doreen Cantrell	2019-03-28	2019	03	28	mouse, t cell, mtor, mtorc1, rapamycin, tmt, fusion, 
PXD012081	.temp.raw	66	23/12/2016 06:29:17	Orbitrap_Lumos	1		Orbitrap Fusion Lumos	Orbitrap Fusion Lumos	FSN20153	2.1.1565.23	2	1		None	0.500	47628	20790	1-47628	0-150.01	93-2000	FTMS + c NSI Full ms [350.0000-1400.0000]	FTMS + c NSI sps d Full ms3 651.1457@cid35.00 429.2691@hcd65.00 [100.0000-1000.0000]	23410	HV_01_06	Sample355	Unknown		a6	0	3	5	0		Wnt-modulated hiPSC-derived insulin-producing cells, adult human islet proteome	PRIDE	Homo sapiens 	Orbitrap Fusion	Vethe et al. (2019)	Helge R�der	2019-11-12	2019	11	12	Human, LC-MS3, 
PXD012100	.temp.raw	66	17/04/2017 22:37:01	Orbitrap Fusion	6		Orbitrap Fusion	Orbitrap Fusion	FSN10171	2.1.1565.23	2	1		None	0.500	30110	10531	1-30110	0-140	92-2000	FTMS + p NSI Full ms [350.0000-1400.0000]	FTMS + p NSI Full ms [350.0000-1400.0000]	13592			Unknown		RD5	0	15	6	1		Cyclin A triggers Mitosis either via Greatwall or Cyclin B	PRIDE	Homo sapiens 	Orbitrap Fusion	Dataset with its publication pending	Tony Ly	2020-05-21	2020	05	21	Human, Cell Cycle, Phosphoproteomics, Cyclin, Mitosis, 
PXD012142	.temp.raw	66	14/07/2016 10:42:35	Orbitrap_Fusion	6		Orbitrap Fusion	Orbitrap Fusion	FSN10399	2.0.1258.15	2	0		None	0.500	34823	31199	1-34823	3-85	110-2000	FTMS + p NSI Full ms [400.0000-1500.0000]	FTMS + p NSI Full ms [400.0000-1500.0000]	5775		RA1	Unknown		BA8	0	1	0	1		Proteomics analysis of goat milk peptides with potential biological activity	PRIDE	Capra hircus 	Orbitrap Fusion	Izquierdo-Gonz�lez et al. (2019)	Manuel J. Rodriguez-Ortega	2019-06-12	2019	06	12	Biological, Goat, kefir, LC-MSMS, biopeptides, 
PXD012155	.temp.raw	66	25/01/2017 15:00:14	Orbitrap Fusion	3		Orbitrap Fusion	Orbitrap Fusion	FSN10222	2.1.1565.18	2	1		None	0.500	68724	54162	1-68724	0-240	50-2000	FTMS + p NSI Full ms [197.0777-1500.0000]	FTMS + p NSI Full ms [197.0777-1500.0000]	7822		RA1	Unknown		GB4	0	10	6	1		Spatiotemporal changes of the phagosomal proteome in dendritic cells in response to LPS stimulation	PRIDE	Mus musculus 	Orbitrap Fusion Lumos	Pauwels et al. (2019)	Pr Matthias Trost	2019-02-28	2019	02	28	Biological, denditric cells, label-free quantification, phagosomes, mass spectrometry, 
PXD012178	.temp.raw	66	09/06/2016 21:03:50	orbitrap	1		Orbitrap Fusion Lumos	Orbitrap Fusion Lumos	FSN20161	2.0.1258.15	2	0		None	0.500	71750	62773	1-71750	0-100	110-2000	FTMS + p NSI Full ms [375.0000-1500.0000]	ITMS + c NSI r d Full ms2 912.1556@hcd30.00 [110.0000-1835.0000]	10046			Unknown			0	0	2	1		Identification of novel CSF biomarkers in GRN-associated frontotemporal dementia by proteomics	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	van der Ende et al. (2019)	Theo M. Luider	2019-04-30	2019	04	30	Frontotemporal dementia, biomarkers, progranulin, proteomics, mass spectrometry, 
PXD012192	.temp.raw	66	25/04/2017 11:57:20	Orbitrap Fusion	1		Orbitrap Fusion Lumos	Orbitrap Fusion Lumos	CA2-MP21	2.0.1258.15	2	0		None	0.500	94256	85238	1-94256	0-120	105-2000	FTMS + p NSI Full ms [400.0000-1500.0000]	ITMS + c NSI r d Full ms2 771.3089@cid35.00 [207.0000-1553.0000]	13594			Unknown		1	0	10	0	1		Peptidomics analysis of milk protein-derived peptides released over time in the preterm infant stomach	PRIDE	Bos taurus , Homo sapiens 	Orbitrap Fusion Lumos	Beverly, Underwood & Dallas (2019)	David Dallas	2019-03-11	2019	03	11	Biological, Peptide, Human milk, Gastric, Preterm, Bioactive, Digestion, 
PXD012231	.temp.raw	66	27/06/2018 20:04:03	Orbitrap Fusion	1		Orbitrap Fusion	Orbitrap Fusion	CAL-MP17	2.0.1258.15	2	0		None	0.500	25044	22413	1-25044	0-60.03	100-2000	FTMS + p NSI Full ms [350.0000-1550.0000]	FTMS + c NSI d Full ms2 1302.1333@hcd35.00 [100.0000-2000.0000]	6758		11	Unknown		C6	0	8	8	1		Buffalo testis ubiquitome LC-MS/MS	PRIDE	Bos taurus 	Orbitrap Fusion	Huang et al. (2020)	ming zhang	2020-06-05	2020	06	05	Biological, Adult buffalo, testis, lysine ubiquitination, proteome, LC-MS/MS, 
PXD012243	.temp.raw	66	07/07/2018 22:06:36	MLN	1		Orbitrap Fusion Lumos	Orbitrap Fusion Lumos	FSN20115	2.1.1565.23	2	1		None	0.500	13656	7592	1-13656	0-50	100-2000	FTMS + p NSI Full ms [300.0000-1750.0000]	FTMS + p NSI Full ms [300.0000-1750.0000]	2878		1	Unknown		D03	0	5	4	1		An advanced strategy for comprehensive profiling of ADP-ribosylation sites using mass spectrometry-based proteomics	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Hendriks, Larsen & Nielsen (2019)	Michael Lund Nielsen	2019-02-26	2019	02	26	Biological, ADP-ribosylation, ADPr, PARP, Human, ETD, EThcD, trypsin, LysC, LUMOS, 
PXD012263	.temp.raw	66	03/05/2018 21:34:55	Orbitrap Fusion	3		Orbitrap Fusion	Orbitrap Fusion	FSN10182	2.1.1565.24	2	1		None	0.500	55789	22602	1-55789	0-190.03	100-2000	FTMS + p NSI Full ms [400.0000-1500.0000]	FTMS + p NSI sps d Full ms3 806.4594@cid35.00 622.1799@hcd65.00 [100.0000-1000.0000]	22296		RA1	Unknown		GD9	0	6	1	1		Functional proteomic atlas of HIV-infection in primary human CD4+ T cells	PRIDE	Homo sapiens 	Orbitrap Fusion	Naamati et al. (2019)	Nicholas J Matheson	2019-03-08	2019	03	08	Biomedical, Proteomics, HIV, Primary T-Cells, 
PXD012285	.temp.raw	66	18/04/2013 21:57:25	Velos Pro	1		Orbitrap Elite	Orbitrap Elite	SN05013B	2.7.0 SP1	2	7		None	0.500	25719	12090	1-25719	0-85	70-2000	FTMS + c NSI Full ms [300.00-1500.00]	ITMS + c NSI r d Full ms2 728.50@cid35.00 [190.00-1470.00]	15448	TMT1_MultiNotchMS3_FullAGCRange_15k_RP	1	Unknown		A3	0	1	0	1		Bayesian Confidence Intervals for Multiplexed Proteomics Integrate Ion-Statistics with Peptide Quantification Concordance, part 2	PRIDE	Escherichia coli, Homo sapiens 	Orbitrap Fusion Lumos	Peshkin et al. (2019)	Martin wuehr	2019-09-30	2019	09	30	Technical, proteomics, confidence, baciq, LMB, RNC nucleus, cytoplasmic, pvalue, 
PXD012287	.temp.raw	66	17/02/2017 19:39:39	Orbitrap_Lumos	2		Orbitrap Fusion Lumos	Orbitrap Fusion Lumos	FSN20135	2.0.1258.15	2	0		None	0.500	84296	39359	1-84296	0-183.01	105-2000	FTMS + c NSI Full ms [400.0000-1500.0000]	FTMS + c NSI sps d Full ms3 656.8352@cid35.00 560.9900@hcd65.00 [120.0000-500.0000]	44294	TMT B3 1-5 and R3 6-10	A08311	Unknown		BC1	0	1	1	1		Stool proteome of EAE mice prior to physical symtoms but after immunization	PRIDE	Mus musculus 	Orbitrap Fusion Lumos	Gonzalez et al. (2019)	Joshua Elias	2019-11-12	2019	11	12	Metaproteomics, Biomedical, metaproteome, EAE, microbiome, host gut microbiome, multiple sclerosis, MS, shotgun proteomics, TMT, 
PXD012291	.temp.raw	66	18/08/2016 07:40:32	Orbitrap Fusion	5		Orbitrap Fusion	Orbitrap Fusion	FSN10172	2.0.1258.14	2	0		None	0.500	116892	102813	1-116892	0-239.99	120-2000	FTMS + c NSI Full ms [400.0000-1500.0000]	FTMS + c NSI Full ms [400.0000-1500.0000]	13128		1	Unknown	Mariana Ferrari - Secretome Basal Souche 131 - 001	GA4	0	5	6	1		Shigella flexneri effectors IpaJ and VirA globally impair host conventional secretion	PRIDE	Shigella flexneri	Orbitrap Fusion	Ferrari et al. (2019)	Damarys Loew	2019-06-04	2019	06	04	Biological, Bacteria, pathogen, IpaJ, VirA, secretion, polarity, SILAC, 
PXD012292	.temp.raw	66	08/02/2017 19:51:18	Orbitrap Fusion	5		Orbitrap Fusion	Orbitrap Fusion	FSN10172	2.0.1258.14	2	0		None	0.500	56599	48929	1-56599	0-120	120-2000	FTMS + c NSI Full ms [400.0000-1500.0000]	ITMS + c NSI r d Full ms2 881.6994@hcd30.00 [120.0000-1774.0000]	8103		1	Unknown	Fredy Barneche-IP MYC-SDG2 buffer SDS 001	BA2	0	5	3	1		SDG2 and S2Lb affinity purification and mass spectrometry	PRIDE	Arabidopsis thaliana (Mouse-ear cress)	Orbitrap Fusion	Fiorucci et al. (2019)	Damarys Loew	2019-04-26	2019	04	26	Biological, Arabidopsis, chromatin, histone methyltransferase, AP-MS, 
PXD012314	.temp.raw	66	21/01/2017 08:06:47	Orbitrap_Lumos	2		Orbitrap Fusion Lumos	Orbitrap Fusion Lumos	FSN20128	2.1.1565.23	2	1		None	0.500	86566	39600	1-86566	0-145.01	100-2000	FTMS + p NSI Full ms [375.0000-1500.0000]	FTMS + p NSI sps d Full ms3 876.6931@hcd35.00 682.7820@hcd65.00 [100.0000-1000.0000]	40499		1	Unknown		2:A,1	0	3	0	1		Reduced proteasome activity in the aging brainresults in ribosome stoichiometry loss and aggregation	PRIDE	Nothobranchius furzeri	Orbitrap Fusion Lumos	Dataset with its publication pending	Alessandro Ori	2020-06-18	2020	06	18	Aging, brain, proteasome activity, aggregation, ribosome stoichiometry, 
