Dataset Identifier	Title	Repos	Species	Instrument	Publication	LabHead	Announce Date	Keywords
PXD016409	An identification of kinases which phosphorylates Ebola virus VP30 protein	jPOST	Homo sapiens 	LTQ Orbitrap	Dataset with its publication pending	Stephan Becker	2020-02-02	Ebola virus, VP30, immunoprecipitation, phosphorylation, 
PXD017357	Substrates identification of yeast Ubp2 through DILUS	iProX	Saccharomyces cerevisiae	LTQ Orbitrap Velos	Li et al. (2020)	Xu Ping	2020-02-02	DUB, Ubp2, yeast, SILAC, TCL, UbC, SDS-PAGE, offline-LC, StageTip, 
PXD016368	Thrombin/APC Signaling Through PAR1	MassIVE	Homo sapiens	Orbitrap Fusion	no publication	David Gonzalez	2020-01-31	Thrombin, Activated Protein C, PAR1, Endothelial permeability, Multiplexed proteomics, TMT, 
PXD015208	Middle-down proteomics reveals RNA binding proteins harbor dense sites of methylation and phosphorylation	PRIDE	Homo sapiens 	Orbitrap Fusion ETD	Kundinger et al. (2020)	Nicholas T. Seyfried	2020-01-31	ETD, middle-down, decision tree, RS protein, basic-acidic domains, 
PXD015149	Mass spectrometry detection of photodamage in human extracellular matrix assemblies	PRIDE	Homo sapiens 	LTQ Orbitrap Elite	Dataset with its publication pending	Michael Sherratt	2020-01-30	Human, microfibrils, collagen VI, fibrillin, LC-MS/MS, ultraviolet, ECM, 
PXD017323	Salivary Proteome of Cowpea Aphid, Native to Riverside, California	MassIVE	Aphis craccivora	Orbitrap Fusion ETD	no publication	Isgouhi Kaloshian	2020-01-29	Cowpea Aphid, Cowpea Aphid Saliva, Aphid Saliva, 
PXD015981	Proteomics analysis of Formalin Fixed Paraffin Embedded tissues in the investigation of prostate cancer	PRIDE	Mus musculus , Homo sapiens 	Q Exactive; LTQ Orbitrap Elite	Mantsiou et al. (2019)	Antonia Vlahou	2020-01-29	FFPE tissue, FF tissue, Prostate cancer, mouse, human, Thermo Q Exactive, Orbitrap Elite, 
PXD016400	Human hela cells mitochondrial LC-MS	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Meng et al. (2020)	Kun Meng	2020-01-29	mitophagy, 
PXD016422	Biotin proximity tagging favors unfolded proteins and enables the study of intrinsically disordered regions	PRIDE	Escherichia coli	Orbitrap Fusion Lumos	Minde, Ramakrishna & Lilley (2020)	Prof. Kathryn S. Lilley	2020-01-29	Biotin, IDR, E. coli, H. sapiens, LC-SPS-MS3, 
PXD016455	Protein complexes between PGRMC1 and actin-associated proteins are disrupted by AG-205	PRIDE	Homo sapiens 	LTQ Orbitrap Elite	10.1016/j.bbrc.2019.12.108; Teakel et al. (2020)	Gereon Poschmann	2020-01-29	Biological, PGRMC1, AP-MS, cancer, trafficking, 
PXD014420	Proteome solubility changes under different proteostasis stresses	PRIDE	Mus musculus 	Orbitrap Fusion Lumos; Q Exactive	Sui et al. (2020)	Daniel Martin Hatters	2020-01-29	Protein Misfolding and Aggregation (B/D-HPP), Biology/Disease-Driven Human Proteome Project (B/D-HPP), Human Proteome Project, proteostasis, stress response, proteome solubility, proteomics, 
PXD014693	Highlighting the dramatic effects of high temperature on developing Cabernet Sauvignon grape berry through proteomic and metabolomic approaches	PRIDE	Vitis vinifera 	LTQ Orbitrap	Lecourieux et al. (2019)	Marc Bonneu	2020-01-29	Grapevine, Berry, Heat, Climatic change, 
PXD015573	Proteome solubility changes under different proteostasis stresses	PRIDE	Mus musculus 	Orbitrap Fusion Lumos	Sui et al. (2020)	Daniel Martin Hatters	2020-01-29	Protein Misfolding and Aggregation (B/D-HPP), Biology/Disease-Driven Human Proteome Project (B/D-HPP), Human Proteome Project, Protein homeostasis, protein aggregation, protein misfolding, Huntington’s dis
PXD016811	sRNA scr5239 involved in important feedback loop of S. coelicolor central metabolism	PRIDE	Streptomyces coelicolor	LTQ Orbitrap	Dataset with its publication pending	Beatix Suess	2020-01-27	sRNA, Streptomyces, DasR, carbon metabolism, 
PXD000007	Comprehensive mapping of the bull sperm surface proteome	PRIDE	Bos taurus 	LTQ Orbitrap	Byrne et al. (2012)	Michael K. Holland	2020-01-27	bovine, sperm, plasma membrane, 5600 TripleTOF, QSTAR Elite, UltrafleXtreme, 
PXD011023	Heat and pressure resistance relates to protein folding and aggregation	PRIDE	Escherichia coli	LTQ Orbitrap Velos	Dataset with its publication pending	BayBioMS Bavarian Center for Biomolecular Mass Spectrometry	2020-01-27	Biological, Escherichia coli, inclusion bodies, pressure resistance, food preservation, 
PXD016436	Proteomic changes of whey proteins after heating at different temperatures	PRIDE	Bos taurus 	LTQ Orbitrap	Dataset with its publication pending	Sjef Boeren	2020-01-27	Milk, whey protein, proteomics, pasteurization, heat treatment, 
PXD011690	A study into the ADP-ribosylome of IFN--stimulated THP-1 human macrophage-like cells identifies ARTD8/PARP14 and ARTD9/PARP9 ADP-ribosylation	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Higashi et al. (2019)	SASHA SINGH	2020-01-27	higher-energy collision dissociation (HCD), electron transfer higher-energy collision dissociation (EThcD), Orbitrap Fusion Lumos, gas phase segmentation, parallel reaction monitoring (PRM), proteomics, post-translational modification (
PXD000616	Discovery-Based Protein Expression Profiling Identifies Distinct Subgroups and Pathways in Leiomyosarcomas	PRIDE	Homo sapiens	LTQ Orbitrap XL; instrument model	Kirik et al. (2014)	Ana Carneiro	2020-01-27	sarcoma human label-free, 
PXD000617	20 human soft-tissue sarcomas (TMT)	PRIDE	Homo sapiens 	LTQ Orbitrap	Kirik et al. (2014)	Ana Carneiro	2020-01-27	tmt human sarcoma, 
PXD000606	Proteomic Analysis of Protein Methylation in the Yeast Saccharomyces cerevisiae	PRIDE	Saccharomyces cerevisiae	LTQ Orbitrap	Wang et al. (2015)	Hanfa Zou	2020-01-27	Saccharomyces cerevisiae, Methylation, Proteomics, LC/MS/MS, 
PXD012177	Cassiopea xamachana: Cassiosomes	PRIDE	Cassiopea xamachana	LTQ Orbitrap	Dataset with its publication pending	Janna Schultzhaus	2020-01-27	Biological, Biomedical, Upside-down jellyfish, Cassiopea, cassiosomes, toxins, proteomics, 
PXD016552	Monosomes actively translate synaptic mRNAs in neuronal processes	PRIDE	Rattus norvegicus 	Orbitrap Fusion Lumos	Biever et al. (2020)	Julian Langer	2020-01-27	Biological, monosomes, mRNA, neuronal processes, protein synthesis, 
PXD000527	Analysis of pummelo proteome using iTRAQ	PRIDE	Citrus maxima (Citrus grandis)	instrument model; LTQ Orbitrap	Zheng et al. (2014)	Wen-Wu Guo	2020-01-27	iTRAQ floral bud, 
PXD009943	2nSILAC_incorporation efficiency and arg-pro-conversion	PRIDE	Saccharomyces cerevisiae (Baker's yeast)	LTQ Orbitrap XL	Dannenmaier et al. (2018)	Prof. Dr. Bettina Warscheid	2020-01-24	Technical, Biological, native SILAC, Saccharomyces cerevisiae, proteomics, mitochondria, 
PXD010704	Assessment of incorporation of heavy amino acids in mitochondrial gene deletion strains and wild-type cells	PRIDE	Saccharomyces cerevisiae (Baker's yeast)	LTQ Orbitrap XL	Dannenmaier et al. (2018)	Prof. Dr. Bettina Warscheid	2020-01-24	Biological, Complete Native Stable Isotope Labeling by Amino Acids of Saccharomyces cerevisiae for Global Proteomic Analysis, 
PXD016835	The antimalarial natural product salinipostin A identifies essential alpha/beta serine hydrolases involved in lipid metabolism in P. falciparum parasites	PRIDE	Plasmodium falciparum 58.1	LTQ Orbitrap	0	Eranthie Weerapana	2020-01-24	Biomedical, salinipostin A, serine hydrolase, 
PXD000406	Candida albicans induces pro-inflammatory and anti-apoptotic signals in macrophages as revealed by quantitative proteomics and phosphoproteomics.	PRIDE	Mus musculus 	LTQ Orbitrap	Reales-Calder�n et al. (2013)	Concha Gil	2020-01-24	Apoptosis, Mass Spectrometry, Phosphoproteins, Quantification, SILAC, Candida albicans, Inflammation, Macrophages, 
PXD000477	Mspire-Simulator: LC-MS shotgun proteomic simulator for creating realistic gold standard data - HEK cell lysate	PRIDE	Homo sapiens 	LTQ Orbitrap	Noyce et al. (2013)	John T. Prince	2020-01-24	Human, HEK-293T, Ms-Simulator, FASP, 
PXD011457	Protein turnover rate along the gastrointestinal tract is coordinated by the spatial location and the microbiota	PRIDE	Mus musculus 	Q Exactive; LTQ Orbitrap	Arike et al. (2020)	Liisa Arike	2020-01-24	Metaproteomics, Biological, Proteomics, Mass Spectrometry, Protein turnover, Bacteria, Colonization, Commensals, Germ-free, Colon, Small Intestine, Lipid Metabolism, 
PXD012734	Identification of mitotic substrates of phospho-regulated USP9X	PRIDE	Homo sapiens 	LTQ Orbitrap	Dietachmayr et al. (2020)	Christian Johannes Gloeckner	2020-01-24	Biological, USP9X, ubiquitinylation, 
PXD014835	CPTAC, TCGA Colorectal Cancer Proteome Study Comparison and Reference Samples (CompRef)	MassIVE	Homo sapiens, Mus musculus	LTQ Orbitrap Velos	no publication	Daniel C Liebler	2020-01-23	CPTAC, 
PXD015899	Time-Dependent Proteome Study: Human ovarian cancer tumor samples (0, 5, 30, 60 min)	MassIVE	Homo sapiens	LTQ Orbitrap Elite; LTQ Orbitrap XL; LTQ Velos	no publication	Forest White, Richard Smith	2020-01-23	CPTAC, 
PXD015904	CPTAC, TCGA Ovarian Cancer Proteome Study Comparison and Reference Samples (CompRef)	MassIVE	Homo sapiens, Mus musculus	LTQ Orbitrap Velos; Q Exactive	no publication	Hui Zhang, Richard Smith	2020-01-23	CPTAC, 
PXD015905	Proteogenomic characterization of human colon and rectal cancer	MassIVE	Homo sapiens	LTQ Orbitrap Velos	no publication	Daniel C Liebler	2020-01-23	CPTAC, 
PXD015906	Time-Dependent Proteome Study: Human colorectal tumor samples (0, 10, 30, 60 min)	MassIVE	Homo sapiens	LTQ Orbitrap XL	no publication	Forest White	2020-01-23	CPTAC, 
PXD015908	Integrated Proteogenomic Characterization of Human High-Grade Serous Ovarian Cancer	MassIVE	Homo sapiens	LTQ Orbitrap Velos; Q Exactive	no publication	Hui Zhang, Richard Smith	2020-01-23	CPTAC, 
PXD015909	Integrated bottom-up and top-down proteomics of patient-derived breast tumor xenografts	MassIVE	Homo sapiens, Mus musculus	TripleTOF 5600; LTQ Orbitrap Elite	no publication	Neil L Kelleher	2020-01-23	CPTAC, 
PXD015913	APOBEC3A is an Oral Cancer Prognostic Biomarker in Taiwanese Carriers of an APOBEC Deletion Polymorphism	MassIVE	Homo sapiens	LTQ Orbitrap Elite	no publication	Yu-Sun Chang	2020-01-23	CPTAC, 
PXD015898	Time-Dependent Proteome Study: Human-in-mouse xenograft breast cancer tumor samples (0, 5, 30, 60 min)	MassIVE	Homo sapiens, Mus musculus	Q Exactive; LTQ Orbitrap XL; LTQ Orbitrap Elite; LTQ Orbitrap Velos	no publication	Steven A. Carr, Daniel C Liebler, Forest White, Richard Smith, Xian Chen	2020-01-23	CPTAC, 
PXD016113	System Suitability (CompRef) Study: Human-in-mouse xenograft breast cancer tumor samples	MassIVE	Homo sapiens, Mus musculus	Q Exactive; LTQ Orbitrap Velos	no publication	Steven A. Carr, Daniel C Liebler, Hui Zhang, Richard Smith, Xian Chen, Daniel Chan, R. Reid Townsend	2020-01-23	CPTAC, 
PXD015949	Quantitative characterization of the neuropeptide level changes in dorsal horn and dorsal root ganglia regions of the murine itch models	PRIDE	Mus musculus 	Orbitrap Fusion	Tillmaand et al. (2020)	Jonathan Sweedler	2020-01-23	LC-MS, label-free quantitation, extracted Ion chromatogram, 
PXD011398	Focal adhesion and NRF2 pathway regulate left-right asymmetries of rhesus hippocampus aging: relevance to human hippocampus aging and Alzheimer’s disease	PRIDE	Macaca mulatta (Rhesus macaque)	Orbitrap Fusion Lumos	Meng et al. (2020)	Wei Ge	2020-01-23	Biomedical, Rhesus, Human, aging, Alzheimer's disease, evolution, 
PXD006889	Mass spec analysis of primary human erythroid cultures (healthy or thalassemic and treated or untreated with Decitabine)	PRIDE	Homo sapiens 	LTQ Orbitrap Elite	Theodorou et al. (2020)	Eleni Katsantoni	2020-01-23	Biomedical, Human, primary erythroid cultures, LC-MS, Decitabine, HbF, 
PXD015276	Multi-organ systems study reveals Igfbp7 as a suppressor of gluconeogenesis after gastric bypass surgery	PRIDE	Mus musculus 	Orbitrap Fusion Lumos; Q Exactive	Arima et al. (2020)	Sasha Singh	2020-01-23	Bariatric surgery, Metabolic Syndrome, Obesity, Diabetes, Tandem mass tagging, Proteomics, Protein-protein interactions, Insulin-like growth factor binding protein 7, 
PXD014990	Mass spectrometry proteomics reveals proteins that function in mTOR regulated selective autophagy	PRIDE	Mus musculus 	Orbitrap Fusion Lumos	Stefely et al. (2020)	Joshua J Coon	2020-01-23	Selective autophagy, mTOR, mass spectrometry proteomics, CALCOCO1, LC3, ER-phagy, ATG5, ULK1, ULK2, 
PXD016681	NIMA-related kinase 9–mediated phosphorylation of the microtubule-associated LC3B protein at Thr-50 suppresses selective autophagy of p62/sequestosome 1	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Shrestha et al. (2019)	Terje Johansen	2020-01-23	Microtubule-associated LC3B protein, In vitro phosphorylation, Autophagy, 
PXD011909	Active kinome in human skeletal muscle insulin resistance	PRIDE	Homo sapiens 	LTQ Orbitrap Elite	Qi et al. (2019)	Zhengping Yi	2020-01-22	Insulin resistance, Quantitative proteomics, Human skeletal muscle, Protein kinase, Active kinome, 
PXD017022	TRF1 averts chromatin remodelling, recombination and replication dependent-Break Induced Replication at mouse telomeres	PRIDE	Mus musculus 	LTQ Orbitrap Velos	Porreca et al. (2020)	Jean-Baptiste Vannier	2020-01-22	Biological, Mus Musculus, Embryonic Fibroblasts, Teleomere, Shelterin complex, LC-MSMS, 
PXD014845	Global analysis of the human cytomegalovirus interactome identifies degradation hubs, domain associations and viral protein functions	PRIDE	Human herpesvirus 5 strain Merlin, Homo sapiens 	Orbitrap Fusion Lumos	Nobre et al. (2019)	Michael Weekes	2020-01-22	proteomics, systems virology, human cytomegalovirus, host-pathogen interaction, immune evasion, protein-protein interaction, 
PXD017086	Proteomic characterization of probiotics	PRIDE	Lactobacillus acidophilus NCFM	LTQ Orbitrap	Bianchi et al. (2020)	Benedetta Mattei	2020-01-22	probiotic quality assessment, functional proteomics, 
PXD000214	Identification of Autocrine Growth Factors Secreted by CHO cells for Applications in Single Cell Cloning Media	PRIDE	Mus musculus , Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus), Homo sapiens 	LTQ Orbitrap Velos	Lim et al. (2013)	Say Kong Ng	2020-01-22	Chinese Hamster Ovary Cells, Secreted Proteins, Shotgun Proteomics, Autocrine Growth Factors, 
PXD015268	Proteomic investigation uncovers potential targets and target sites of pneumococcal serine-threonine kinase StkP and phosphatase PhpP	PRIDE	Streptococcus pneumoniae serotype 2 (strain D39 / NCTC 7466)	LTQ Orbitrap Velos	Hirschfeld et al. (2019)	D?rte Becher	2020-01-22	Biological, Biomedical, Streptococcus pneumoniae, Ser/Thr kinases, phosphatases, phosphoproteomics, mass spectrometry, label-free quantification, phosphopeptide enrichment, spectral library, 
PXD011811	The biomolecular characterisation of an Early Neolithic finger ring from Syltholm, Denmark	PRIDE	Cervus elaphus	orbitrap	10.1098/rsos.191172	Hannes Schroeder	2020-01-21	collagen, LC-MS/MS, mass spectrometry, palaeoproteomics, zooarchaeology, ZooMS, 
PXD014511	Proteome analysis of formalin-fixed paraffin-embedded colorectal adenomas reveals the heterogeneous nature of Traditional Serrated Adenoma compared to the other colorectal adenomas	PRIDE	Homo sapiens 	Orbitrap Fusion	Sohier et al. (2019)	Dr. Christine Perret	2020-01-21	Colon adenoma, Label free quantification, Proteomics, formalin-ﬁxed parafﬁn-embedded, FFPE, Sessile serrated adenoma, Traditional serrated adenoma, Orbitrap fusion,, 
PXD016034	A rare-codon-based translational program of cell proliferation	PRIDE	Mus musculus 	Orbitrap Fusion Lumos	Dataset with its publication pending	Alexander Schmidt	2020-01-21	Biological, Cell proliferation, translation control, codon usage, rare codons, translation elongation, tRNA pools, LFQ, 
PXD013948	Proteomic analysis of the secretome from 4T1 breast cancer cells upon Stat3 silencing.	PRIDE	Mus musculus 	Orbitrap Fusion	Dataset with its publication pending	Damarys Loew	2020-01-21	4T1, secretome, Stat3, 
PXD015098	Systematic comparison of strategies for the enrichment of lysosomes by data independent acquisition	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Singh et al. (2020)	Dominic Winter	2020-01-21	Technical, Lysosomes, enrichment methods, data independent acquisition (DIA), 
PXD012846	Citrobacter rodentium triggers exaggerated mucosal responses in mice developing severe intestinal disease	PRIDE	Mus musculus , Citrobacter rodentium	Orbitrap Fusion	Hopkins et al. (2019)	Jyoti Choudhary	2020-01-21	TMT, Mouse, LC-MS/MS, Citrobacter, Colon, 
PXD017189	Chloroplast glutamyl endopeptidase (CGEP) comparative proteomics	PRIDE	Arabidopsis thaliana (Mouse-ear cress)	LTQ Orbitrap	Dataset with its publication pending	Klaas van Wijk	2020-01-21	Arabidopsis, peptidase, proteomics, chloroplast, stroma, 
PXD003350	Malaria Palmitoyl Transferases	PRIDE	Plasmodium falciparum (isolate 3D7)	LTQ Orbitrap Velos	Tay et al. (2016)	Jyoti Choudhary	2020-01-21	Biological, Biomedical, PFalciparum, Gel, DHHC, 
PXD017220	Aspirin reshapes acetylomes in inflammatory and cancer cells via CoA-dependent and –independent pathways	iProX	Mus musculus, Homo sapiens	Orbitrap Fusion	Guo et al. (2020)	Yaoyang Zhang	2020-01-21	Mass Spectrometry, Proteome, Aspirin, Acetylation, Acetylome, 
PXD015651	Intracellular proteins adsorbed on AuNPs during transcytosis and exocytosis	PRIDE	Homo sapiens 	LTQ Orbitrap Velos	Qin et al. (2020)	Mengmeng Qin	2020-01-20	Caco-2, AuNPs, protein corona, transcytosis, exocytosis, 
PXD016926	Global Metabolomic and Lipidomic Analysis Reveal the Synergistic Effect of Bufalin in Combination with Cinobufagin against HepG2 Cells	PRIDE	Homo sapiens 	Orbitrap Fusion; Q Exactive	Zhang et al. (2020)	Yongjiang Wu	2020-01-20	Biomedical, Metabolomics, Lipidomics, Bufalin, Cinobufagin, Combination treatment., 
PXD013847	Role of Ssd1 in modulating protein abundance in aneuploid wild yeast	PRIDE	Saccharomyces cerevisiae (Baker's yeast)	Orbitrap Fusion Lumos	Hose et al. (2020)	Joshua Coon	2020-01-17	label-free proteomics, yeast, aneuploidy, SSD1, 
PXD012688	Human Salivary Neutrophil Defensins (Alpha-Defensins)	PRIDE	Homo sapiens 	LTQ Orbitrap Elite	10.1007/s10875-020-00743-4; Contini et al. (2020)	Barbara Manconi	2020-01-17	human alpha defensins, Top-Down proteomics, saliva, high resolution mass spectrometry, 
PXD016606	Identification of Arabidopsis NAI2 complex	PRIDE	Arabidopsis thaliana (Mouse-ear cress)	LTQ Orbitrap	Yamada et al. (2020)	Kenji Yamada	2020-01-17	Arabidopsis thaliana, ER body, NAI2, 
PXD016417	The human cholesterogenic enzymes DHCR14 and LBR are differentially regulated transcriptionally and post-translationally	PRIDE	Homo sapiens , Cricetulus griseus	Orbitrap Fusion Lumos; LTQ Orbitrap Velos	Capell-Hattam et al. (2020)	Andrew J Brown	2020-01-17	cholesterol synthesis enzymes, DHCR14, LBR, 
PXD015824	The GATOR2–mTORC2 axis mediates Sestrin2-induced AKT Ser/Thr kinase activation	PRIDE	Homo sapiens 	Orbitrap Fusion	Kowalsky et al. (2020)	Jun Hee Lee	2020-01-17	Sestrin2, Akt PKB, GATOR2, mTOR, liver metabolism, 
PXD013461	Fusion partners influence cellular and molecular phenotypes of oncogenic BRAF fusions	PRIDE	Homo sapiens 	Orbitrap Fusion	Stangl et al. (2020)	Hugo Snippert	2020-01-17	CRC, Organoids, Fusion Genes, BRAF, Fusion Partner, resistance, signaling, 
PXD016202	The regulator PltZ senses exogenous2,4-DAPG and regulate a novel multidrug resistant pump in involved in Pseudomonas aeruginosaATCC27853	PRIDE	Pseudomonas aeruginosa LESB58	Orbitrap Fusion Lumos	Guo et al. (2020)	Yong-Xing He	2020-01-17	2,4-DAPG, Pseudomonas aeruginosa, PltZ, 
PXD014435	OK-SnRK2 cascade mediates osmotic stress signaling in plant	PRIDE	Arabidopsis thaliana (Mouse-ear cress)	LTQ Orbitrap Velos	Lin et al. (2020)	Pengcheng Wang	2020-01-17	Osmotic stress, SnRK2, osmotic stress active protein kinases, 
PXD015394	MED12 wraps around CDK8 and utilizes an activation helix to stimulate its kinase activity	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Klatt et al. (2020); 10.1038/s41591-019-0738-2	Claus-D. Kuhn	2020-01-16	Biological, Chemical cross-linking, DSS, PDH, DMTMM, structural proteomics, mediator complex, kinase, 
PXD011384	The stoichiometry of the outer kinetochore responds to microtubule-proximal regulation	PRIDE	Saccharomyces cerevisiae (Baker's yeast)	LTQ Orbitrap Elite	Dhatchinamoorthy et al. (2019)	Laurence Florens	2020-01-16	MudPIT, kinetochore, anaphase, 
PXD013329	Proteome changes during oocyte to zygote transition in rainbow trout Oncorhynchus mykiss	PRIDE	Oncorhynchus mykiss	LTQ Orbitrap Elite	Dataset with its publication pending	Prof. Peter James	2020-01-16	Trout, egg, fertilization, proteomics, 
PXD012876	Steroidogenic Control of Liver Metabolism Through a Nuclear Receptor-Network	PRIDE	Mus musculus 	Orbitrap Fusion ETD	Milona et al. (2019)	Bryn M Owen	2020-01-16	Biological, mouse, Fusion, Liver Metabolism, 
PXD015873	The mitochondrial HSP90 paralog TRAP1 forms an OXPHOS-regulated tetramer and is involved in maintaining mitochondrial metabolic homeostasis	PRIDE	Homo sapiens 	Orbitrap Fusion	Dataset with its publication pending	Lisa Jenkins	2020-01-16	SILAC, LC-MS, TRAP1, HSP90 paralog, 
PXD015828	Total proteome analysis of WT vs TRAP1 KO in HCT-116 and HEK-293T cells grown on different carbon sources.	PRIDE	Homo sapiens 	Orbitrap Fusion	Joshi et al. (2020)	Didier Picard	2020-01-16	Biological, Molecular chaperone, TRAP1, Hsp90, mitochondrion, oxidative phosphorylation, 
PXD016106	15-141 The endoplasmic reticulum-associated mRNA-binding protein ERBP1	PRIDE	Trypanosoma brucei	LTQ Orbitrap	Dataset with its publication pending	Thomas Ruppert	2020-01-16	15-141 RNA-binding proteins, Trypanosoma brucei, post-transcripcional control, 
PXD010053	Mapping Proteome-Wide Targets of Protein Kinases in Response to Stresses	PRIDE	Arabidopsis thaliana (Mouse-ear cress)	LTQ Orbitrap Velos	Wang et al. (2020)	jian-Kang Zhu	2020-01-16	Biological, Plant kinase, Stress, Phosphoproteomics, 
PXD016850	Temporal proteomic analyses of the protein contents found in the insoluble fraction of the a-synuclein PFF-treated neurons	PRIDE	Mus musculus 	Orbitrap Fusion Lumos	Dataset with its publication pending	Hilal Lashuel	2020-01-15	Biomedical, Mouse Primary neurons, 
PXD015796	Phosphoproteomics of Marchantia polymorpha upon Blue light and DCMU treatments	jPOST	Marchantia polymorpha subsp. ruderalis	LTQ Orbitrap	Koide et al. (2020)	Hirofumi Nakagami	2020-01-15	Marchantia polymorpha, Phosphoproteomics, Blue light, DCMU, 
PXD014377	Functional translatome proteomics reveal converging regulation by mTORC1 and eIF2α	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos; Q Exactive HF; LTQ Orbitrap Elite	doi.org/10.1016/j.molcel.2019.11.010; Klann, Tascher & Münch (2019)	Christian Münch	2020-01-15	Biomedical, Human, Translation, TMT, pulsed SILAC, 
PXD015438	Revision: Functional translatome proteomics reveal converging regulation by mTORC1 and eIF2α	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos; Q Exactive	doi.org/10.1016/j.molcel.2019.11.010; Klann, Tascher & Münch (2019)	Christian Münch	2020-01-15	pSILAC, TMT, translation, proteomics, 
PXD012797	Validation of a high-performance liquid chromatography-tandem mass spectrometry immunopeptidomics assay for the identification of HLA ligands suitable for pharmaceutical therapies	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Ghosh et al. (2020)	Stefan Stevanovic	2020-01-15	Immunopeptidome, mass spectrometry, cancer immunotherapy, GMP, LC–MS/MS, validation, 
PXD014871	Proteomic changes in human sperm during sequential in vitro capacitation and acrosome reaction.	PRIDE	Homo sapiens 	LTQ Orbitrap Velos	Castillo et al. (2019)	Rafael Oliva Virgili	2020-01-14	Biomedical, sperm, spermatozoa, capacitation, acrosome reaction, proteomics, mass spectrometry, TMT labeling, 
PXD014421	A TetR-Family Protein (CAETHG_0459) Activates Transcription From a New Promoter Motif Associated With Essential Genes for Autotrophic Growth in Acetogens	PRIDE	Clostridium autoethanogenum	TripleTOF 5600; LTQ Orbitrap Elite	de Souza Pinto Lemgruber et al. (2019)	Esteban Marcellin	2020-01-14	biological, data-dependent acquisition, gas fermentation, acetogen, 
PXD014384	Mating precedes selective immune priming which is maintained throughout bumblebee queen diapause	PRIDE	Bombus terrestris audax	LTQ Orbitrap	Colgan et al. (2019)	James Carolan	2020-01-14	Bombus, diapause, AMPs, Proteomics, 
PXD014198	Genome-wide CRISPR screening reveals genetic modifiers of mutant EGFR dependence in NSCLC	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Zeng et al. (2019)	Debora Bonenfant	2020-01-14	Biomedical, human, cancer, EGFR, 
PXD004992	Phosphoproteome profiles of prostate cancer cell lines	PRIDE	Homo sapiens 	LTQ Orbitrap Velos; Q Exactive	Katsogiannou et al. (2019)	Luc Camoin	2020-01-14	Biological, Biomedical, Human, LC-MS, prostate cancer, 
PXD016331	Quantitative Live Cell Imaging Reveals Differential Manipulation of Rab11A Transport Pathways by Influenza virus and RSV	PRIDE	Influenza A virus (A/California/07/2009), Homo sapiens 	Orbitrap Fusion	Bhagwat et al. (2020)	Benjamin A. Garcia	2020-01-14	influenza virus, microtubules, Rab11A, endosomes, assembly, RNA, live-cell imaging, light-sheet microscopy, fluorescence microscopy, viral RNA, motor transport, vesicle tracking, 
PXD000082	Monitor precursor mass shifts of Halobacterium salinarum	PRIDE	Halobacterium salinarum, Homo sapiens 	LTQ Orbitrap	Weng et al. (2013)	Wailap Victor Ng	2020-01-14	Biological, Human NSCLC cell line, CL1-5 Lysate, H23 Lysate, Halobacterium salinarum NRC-1, NRC-1 Lysate, NRC-1 GVD Lysate, LC-MS/MS, LTQ-orbitrap XL, LTQ-orbitrap Discovery, 
PXD015752	Arg-GlcNAcylation of GshB, An intra-bacterial activity for a T3SS effector	PRIDE	Escherichia coli	Orbitrap Fusion Lumos; LTQ Orbitrap Elite	Dataset with its publication pending	Philip R. Hardwidge	2020-01-14	Glycosylation, EPEC, EHEC, effectors, Citrobacter rodentium, NleB, 
PXD016580	Phosphorylation ratio of pT vs pY ERK in MEK phosphorylation reaction determined by mass spectrometry	PRIDE	Rattus norvegicus , Homo sapiens 	Orbitrap Fusion Lumos	Dataset with its publication pending	Martin W�hr	2020-01-13	Recombinant, Kinase reaction, LC-MSMS, Orbitrap Fusion Lumos, 
PXD013549	Cilia and the exocyst are involved in urinary extracellular vesicle production and content	PRIDE	Canis lupus familiaris	LTQ Orbitrap Elite	Zuo et al. (2019)	Josh Lipschutz, M.D.	2020-01-13	Bioinformatics Infrastructure for Life Sciences (BILS) network (Sweden), extracellular vesicle, exocyst, GTPase, protein trafficking, 
PXD016255	Purified Porcine ATP synthaseLCMSMS	PRIDE	Sus scrofa domesticus (domestic pig)	Orbitrap Fusion	Mnatsakanyan et al. (2019)	Elizabeth Jonas	2020-01-13	Porcine, ATP synthase, 
PXD016272	Mapping Axon Initial Segment Structure and Function by Iterative Proximity Biotinylation	PRIDE	Rattus norvegicus 	Orbitrap Fusion Lumos; Q Exactive	Hamdan et al. (2020)	Alma L Burlingame	2020-01-13	BioID, axon initial segments, 
