Dataset Identifier	Title	Repos	Species	Instrument	Publication	LabHead	Announce Date	Keywords
PXD014981	Dppa2/4 target chromatin bivalency enabling multi-lineage commitment	PRIDE	Mus musculus 	Orbitrap Fusion Lumos	Eckersley-Maslin et al. (2020)	Aled Parry	2020-05-26	Epigenetic Priming, Bivalency, Development, Trithorax, Compass, qPLEX RIME, 
PXD013796	AZD4573 is a highly selective CDK9 inhibitor that suppresses Mcl-1 and induces apoptosis in hematological cancer cells	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Cidado et al. (2020)	Clive D'Santos	2020-05-26	AZD4573, a selective CDK9 inhibitor, targets Mcl-1, 
PXD017584	Protocol for high-yield production of photo-leucine-labeled proteins in Escherichia coli	PRIDE	Escherichia coli	Orbitrap Fusion Lumos; LTQ Orbitrap Elite	Kohl et al. (2020)	Sebastian Hiller	2020-05-26	Photo-leucine, Mass spectrometry, high-cell density culture, UV cross-linking, Molecular chaperones, 
PXD018131	YAP/TAZ drives ependymoma-like tumour formation in mice	PRIDE	Mus musculus 	Orbitrap Fusion Lumos	Eder et al. (2020)	Sila Ultanir	2020-05-26	mus musculus, ependymoma, nlsYAP5SA, TMT10plex, brain, 
PXD017832	Glycosylation analysis of pgl enzyme from C fetus in ecoli	PRIDE	Campylobacter jejuni	Orbitrap Fusion Lumos	Duma et al. (2020)	Christine Szymanski	2020-05-25	LC-MS, glycosylation, Campylobacter, 
PXD013708	Changes in the oligodendrocyte cell progenitor cell proteome with ageing	PRIDE	Rattus norvegicus 	Orbitrap Fusion	de la Fuente et al. (2020)	Prof. Robin J Franklin	2020-05-22	OPC ageing, proteomics, primary cells, 
PXD013010	LC-MSMS of HSV-1 infected HFFs	PRIDE	Human herpesvirus 1 (strain 17) (HHV-1) (Human herpes simplex virus 1), Homo sapiens 	Orbitrap Fusion	Whisnant et al. (2020)	Lars D�lken	2020-05-21	Biomedical, LC-MSMS, HSV-1, HFF, SILAC, 
PXD016618	O-glycan initiation directs distinct biological pathways and controls epithelial differentiation	PRIDE	Homo sapiens 	LTQ Orbitrap Velos; Orbitrap Fusion	Bagdonaite et al. (2020)	Sergey Vakhrushev	2020-05-21	3D skin, differential glycoproteomics, polyomics, polypeptide GalNAc-transferase, tissue development, 
PXD011776	Proteomic analysis of Serratia marcescens (ATCC13880)	PRIDE	Serratia marcescens subsp. marcescens ATCC 13880	Orbitrap Fusion ETD	Gangadharappa, Rajashekarappa & Sathe (2020)	Dr. Sharath R	2020-05-21	serratia, pathogen, drug resistance, Orbitrap Fusion, 
PXD012100	Cyclin A triggers Mitosis either via Greatwall or Cyclin B	PRIDE	Homo sapiens 	Orbitrap Fusion	Dataset with its publication pending	Tony Ly	2020-05-21	Human, Cell Cycle, Phosphoproteomics, Cyclin, Mitosis, 
PXD017469	Characterization of signaling pathways associated with pancreatic beta-cell adaptive flexibility in compensation of obesity-linked diabetes in db/db miceCharacterization of signaling pathways associated with pancreatic β-cell adaptive flexibility in comp	PRIDE	Mus musculus 	Q Exactive HF; Orbitrap Fusion Lumos	Kang et al. (2020)	Martin R. Larsen	2020-05-18	islets, diabetes, beta-cells, obesity, 
PXD019248	NAP1-RELATED PROTEIN1 and 2 negatively regulate H2A.Z abundance in chromatin in Arabidopsis	PRIDE	Arabidopsis thaliana (Mouse-ear cress)	Orbitrap Fusion Lumos	Wang et al. (2020)	Israel Ausin	2020-05-18	arabidopsis, LC-MS/MS, 
PXD019251	Interactions of CDK19 with MED12 and cyclin-C assessed by chemical cross-linking mass spectrometry	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Klatt et al. (2020)	Claus-D. Kuhn	2020-05-18	Chemical cross-linking, DSS, structural proteomics, mediator complex, kinase, 
PXD017341	Titin BioID - protein and peptide pull-down	PRIDE	Mus musculus 	Orbitrap Fusion; Q Exactive	Rudolph et al. (2020)	Michael Gotthardt	2020-05-18	Technical, mouse, BioID, titin, biotinylation sites, 
PXD018911	The domesticated transposase ALP2 mediates formation of a novel Polycomb protein complex by direct interaction with MSI1, a core subunit of Polycomb Repressive Complex 2 (PRC2)	PRIDE	Arabidopsis thaliana (Mouse-ear cress)	Orbitrap Fusion Lumos; Q Exactive	Velanis et al. (2020)	Justin Goodrich	2020-05-17	Alp1, Alp2, Polycomb repressive complex 2, Arabidospsis thaliana, Harbinger transposable elements, 
PXD017343	Analysis of CD5 signalosome in primary T cells	PRIDE	Mus musculus 	LTQ Orbitrap Velos; Orbitrap Fusion	Dataset with its publication pending	Odile Schiltz	2020-05-17	CD5, TCR, interactomics, tyrosine phosphorylation, 
PXD015039	Immunopeptidome of an acute myeloid leukemia cell line THP1	PRIDE	Homo sapiens 	Orbitrap Fusion	Pandey et al. (2020)	Anthony Wayne Purcell	2020-05-15	AML, immunopeptidome, HLA class I, PTM, cancer, 
PXD015652	Comparison of microglial proteomes of MACS and FACS-based purified CD11b+ microglia	PRIDE	Mus musculus 	Orbitrap Fusion	Rayaprolu et al. (2020)	Nicholas T. Seyfried	2020-05-15	MACS, FACS, TMT, mouse acutely purified brain-associated microglia, 
PXD018357	Inhibition of growth factor signaling prevents SARS-CoV-2 replication	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Klann et al. (2020)	Christian M�nch	2020-05-15	Sars-Cov-2, Covid-19, TMT, SARS-CoV-2, COVID-19, Infection, Phospho, 
PXD016778	Semi-Synthesis of an Evasin from Tick Saliva Reveals a Critical Role of Tyrosine Sulfation for Chemokine Binding and Inhibition	PRIDE	Amblyomma cajennense	Orbitrap Fusion Lumos	Franck et al. (2020)	Mark Larance	2020-05-14	Sulfation, Synthetic, Evasin, Chemokine, 
PXD018858	Holistic engineering of cell-free systems through proteome-reprogramming synthetic circuits	PRIDE	Escherichia coli	Orbitrap Fusion Lumos	Contreras-Llano et al. (2020)	Cheemeng Tan	2020-05-14	Orthogonality, Synthetic biology, Proteome, Cell-free protein synthesis, 
PXD013340	Impact of increased core fucosylation on the exosome proteome in prostate cancer	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Clark et al. (2020)	Hui Zhang	2020-05-12	Human, cancer, exosomes, glycosylation, proteomic, glycoproteomics, 
PXD017298	Identification of gene fusion events in Mycobacterium tuberculosis that encode novel chimeric proteins	PRIDE	Mycobacterium tuberculosis H37Rv	Orbitrap Fusion	Dataset with its publication pending	Samantha Sampson	2020-05-12	Protoemics, Gene fusions, Genomics, 
PXD016245	Proteomic analysis reveals core monocyte-derived cell differentiation proteome and highlights cellular identity-specific proteins	PRIDE	Homo sapiens 	Orbitrap Fusion	Dataset with its publication pending	Maartje van den Biggelaar	2020-05-11	monocyte-derived cells, differentiation, proteomics, dendritic cells, M1 macrophages, M2 macrophages, osteoclasts, 
PXD019077	Proteomic profile of nucleoid-associated proteins isolated from Mycoplasma gallisepticum in different growth phases	PRIDE	Mycoplasma gallisepticum S6	Orbitrap Fusion Lumos	Zubov Aleksandr et al. (2020)	Gleb Fisunov	2020-05-11	mycoplasma gallisepticum, nucleoid, synchronous growth, nucleoid associated proteins, DIA, 
PXD013892	Discovery of lincRNA-encoded Peptides: An Integrated Transcriptomics, Proteomics and Bioinformatics Approach	PRIDE	Mus musculus 	Orbitrap Fusion	Dataset with its publication pending	CHIN-RANG YANG	2020-05-11	noncoding, lncRNA, lincRNA, lincRNA peptide, micropeptide, sORF, ORF Prediction, 
PXD016963	Fast and highly efficient affinity enrichment of Azide-A-DSBSO cross-linked peptides.	PRIDE	Escherichia coli, Homo sapiens 	Orbitrap Fusion Lumos; Q Exactive HF	Matzinger et al. (2020)	Karl Mechtler	2020-05-11	EPIC-XS, Cross-linking, mass spectrometry, DSBSO, DBCO, click reaction, affinity enrichment, 
PXD015941	Structure of herpes simplex virus pUL7:pUL51, a conserved complex required for efficient herpesvirus assembly	PRIDE	Human alphaherpesvirus 1 strain KOS	Orbitrap Fusion Lumos	Butt et al. (2020)	Dr Stephen C Graham	2020-05-11	Secondary envelopment, virus budding, focal adhesions, human cytomegalovirus (HCMV), 
PXD018449	Phosphoproteomic analysis of signaling downstream of p85β	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Rao et al. (2020)	Dr CHEUNG, Lydia Wai Ting	2020-05-08	Phosphoproteomics, p85, PI3K, 
PXD016225	Trichodesmium field metaproteomes	PRIDE	Trichodesmium	Orbitrap Fusion	Dataset with its publication pending	Makoto Saito	2020-05-07	Trichodesmium, ocean, marine microbe, nitrogen fixation, diazotroph, 
PXD017642	Interactome analysis of FAM50A via affinity purification coupled to mass spectrometry	PRIDE	Homo sapiens 	Orbitrap Fusion	Lee et al. (2020)	Jyoti Choudhary	2020-05-07	Streptavidin affinity purification, FAM50A, protein interactions, nanoLC-MS/MS, 
PXD010508	Activated neutrophils exert myeloid-derived suppressor cell activity, damaging T cells beyond repair	PRIDE	Homo sapiens 	Orbitrap Fusion ETD	Aarts et al. (2019)	T.W. Kuijpers	2020-05-07	Biomedical, MDSC, small T cells, large T cells, 
PXD018325	Mammalian Fibroblast Turnover Rates, Protein Abundance, and Protein Damage Response	PRIDE	Bos taurus , Homo sapiens 	Orbitrap Fusion Lumos; LTQ Orbitrap	Dataset with its publication pending	Sina Ghaemmaghami	2020-05-07	Fibroblast, Primary, Mammalian, SILAC, LFQ, iBAQ, 
PXD018176	Ultraviolet Photodissociation of tryptic peptide backbones at 213 nm	PRIDE	Escherichia coli, Oryctolagus cuniculus, Gallus gallus , Homo sapiens , Equus caballus 	Orbitrap Fusion Lumos	Kolbowski, Belsom & Rappsilber (2020)	Juri Rappsilber	2020-05-07	UVPD 213 nm, Dual MS2, Fusion Lumos, LC-MSMS, E. coli, HSA, ovotransferrin, myoglobin, creatine kinase, 
PXD015606	ProteoViz: A toolset for interactive analysis of phosphoproteomics data	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Storey et al. (2020)	Stephanie Diane Byrum	2020-05-07	phosphoproteomics, TMT, Shiny, 
PXD009902	Proteomic Analysis of an Arsenic Response Locus	PRIDE	Saccharomyces cerevisiae (Baker's yeast)	Orbitrap Fusion	West et al. (2019)	Alan J. Tackett	2020-05-07	Biomedical, Arsenic, yeast, CRISPR, ChAP-MS, 
PXD013399	Deciphering the protein dynamics and molecular determinants of iPSC-derived neurons.	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos; Orbitrap Fusion	Varderidou et al. (2020)	Maarten Altelaar	2020-05-07	iPSC, human, neuron differentiation, quantitative mass spectrometry, TMT-10plex, 
PXD016261	Evaluation of tumor interstitial fluid-extraction methods for proteome analysis: comparison of biopsy elution versus centrifugation	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Matas-Nadal et al. (2020)	Eloi Gari	2020-05-06	Tumor interstitial fluid, proteome, centrifugation, spin, elution, cutaneous squamous cell carcinoma, skin cancer, 
PXD018943	Chromosome-level de novo assembly and annotation of pig-tailed (macaca nemestrina) macaque genome	PRIDE	Macaca nemestrina	Orbitrap Fusion Lumos	Dataset with its publication pending	Michael P. Snyder	2020-05-04	Pig-tailed macaque, genome, assembly. proteomics, 
PXD017858	HEK293T cell proteome abundance (WT vs NUFIP1 knock-out). Related to Supplementary Table 5 from An et al (2020)	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	An et al. (2020)	Wade Harper	2020-04-29	Human, Proteome, LC-MSMS, 
PXD017857	HEK293T cell degradome (pulse chase) analysis upon 12h Torin1 treatment. Related to Supplementary Table 3 from An et al (2020)	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	An et al. (2020)	Wade Harper	2020-04-29	Human, Azidohomoalanine (AHA) incorporation, LC-MSMS, 
PXD017859	HEK293T cell proteome remodeling upon 6-MP treatment. Related to Supplementary Table 6 from An et al (2020)	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	An et al. (2020)	Wade Harper	2020-04-29	Human, LC-MSMS, 
PXD017851	HEK293T cell proteome remodeling upon Torin1 treatment or amino acid withdraw in WT and RPS3-Halo knock-in cells with or without NUFIP1 deletion. Related to Supplementary Table 5 from An et al (2020)	PRIDE	Homo sapiens 	Orbitrap Fusion	An et al. (2020)	Wade Harper	2020-04-29	Human, Proteome, LC-MSMS, 
PXD017860	HEK293T cell translatome analysis upon 6-MP treatment. Related to Supplementary Table 6 from An et al (2020)	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	An et al. (2020)	Wade Harper	2020-04-29	Human, Azidohomoalanine (AHA) incorporation, LC-MSMS, 
PXD017861	HEK293T cell translatome analysis upon Torin1 treatment or single amino acid withdrawal. Related to Supplementary Table 6 from An et al (2020)	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	An et al. (2020)	Wade Harper	2020-04-29	Human, Azidohomoalanine (AHA), LC-MSMS, 
PXD018252	HEK293T cell translatome analysis upon Torin1 treatment or single amino acid withdrawal. Related to Supplementary Table 2 from An et al (2020)	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	An et al. (2020)	Wade Harper	2020-04-29	Human, Azidohomoalanine (AHA), LC-MSMS, 
PXD017856	HEK293T cell nuclear & cytosolic proteome remodelling upon amino acid withdrawal. Related to Supplementary Table 4 from An et al (2020)	PRIDE	Homo sapiens 	Orbitrap Fusion	An et al. (2020)	Wade Harper	2020-04-29	Human, Cytosolic Nuclear Fractionation, LC-MSMS, 
PXD017855	HEK293T cell nuclear & cytosolic phospho-proteome remodelling upon amino acid withdrawal. Related to Supplementary Table 4 from An et al (2020)	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	An et al. (2020)	Wade Harper	2020-04-29	Human, Phospho, Cytosolic Nuclear Fractionation, LC-MSMS, 
PXD018158	HEK293T cell degradome (pulse chase) time course (5h, 10, 15h) analysis upon Torin1 treatment. Related to Supplementary Table 3 from An et al (2020)	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	An et al. (2020)	Wade Harper	2020-04-29	Human, Azidohomoalanine (AHA), TMTpro, LC-MSMS, 
PXD017853	HCT116 cell proteome remodeling upon Torin1 treatment or amino acid withdraw. Related to Supplementary Table 1 from An et al (2020)	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	10.1038/s41586-020-2446-y	Wade Harper	2020-04-29	Human, Proteome, LC-MSMS, 
PXD014483	ChromID reveals the proteome composition of key chromatin states in murine stem cells	PRIDE	Mus musculus 	Orbitrap Fusion	Villase�or et al. (2020)	Tuncay Baubec	2020-04-29	Biological, Chromatin, Epigenetics, Synthetic Biology, Systems Biology, Chromatin Proteomics, 
PXD015491	G3BP1-linked mRNA partitioning supports selective protein synthesis in response to oxidative stress	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Somasekharan et al. (2020)	Syam Prakash Somasekharan	2020-04-29	G3BP1, APEX, Prostate cancer, Stress granules, 
PXD014526	Flow-induced reorganization of laminin-integrin networks within the endothelial basement membrane uncovered by proteomics	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos; Orbitrap Fusion	Béguin et al. (2020)	Maartje van den Biggelaar	2020-04-29	Endothelium, flow, shear stress, proteomics, extracellular matrix, basement membrane, integrin, laminin, TNFα, inflammation, 
PXD014311	Region-specific proteome changes of the intestinal epithelium during aging and dietary restriction	PRIDE	Mus musculus 	Orbitrap Fusion Lumos; Q Exactive HF	Gebert et al. (2020)	Alessandro Ori	2020-04-29	Aging, small intestine, diet, crypts, stem cell, 
PXD011929	Meltome Atlas - thermal proteome stability across the tree of life	PRIDE	Mus musculus , Arabidopsis thaliana (Mouse-ear cress), Thermus thermophilus (strain HB8 / ATCC 27634 / DSM 579), Saccharomyces cerevisiae (Baker's yeast), Picrophilus torridus, Geobacillus stearothermophilus, Escherichia coli, Caenorhabditis elegans, Baci	Orbitrap Fusion Lumos; iTRAQ reagent 116	Jarzab et al. (2020)	Bernhard Kuster	2020-04-29	Technical, Biological, Meltome Atlas, melting point, thermostability, Thermal Proteome Profiling, protein stability, 
PXD013840	Phosphoproteomic analysis of CD2 signaling reveals an AMPK-dependent targeted granule secretion in human cytotoxic T cells	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Zurli et al. (2020)	Roman Fischer	2020-04-28	CD2, phosphoproteome, granule secretion, 
PXD012803	Label-Free Quantification of Yeast Cellular Proteome	PRIDE	Saccharomyces cerevisiae (Baker's yeast)	Orbitrap Fusion	Bj�rkeroth et al. (2020); Di Bartolomeo et al. (2020); ...	Jens Nielsen	2020-04-27	LC-MS, label-free quantification, intensity-based absolute quantification, Saccharomyces cerevisiae, 
PXD018808	Rescue of oxytocin response and social behavior in a rodent model of autism	PRIDE	Mus musculus 	Orbitrap Fusion Lumos	H�rnberg et al. (2020)	Alexander Schmidt	2020-04-27	Autism, mass spectrometry, PRM, 
PXD017620	Cross-linking mass spectrometry of yeast mitochondria grown on different carbon sources reveal Ndi1, Min8 and Pet9 associated with the electron transport chain	PRIDE	Saccharomyces cerevisiae (Baker's yeast)	Q Exactive HF; Orbitrap Fusion Lumos; Orbitrap Fusion	Linden et al. (2020)	Henning Urlaub	2020-04-27	cross-linking, mass spectrometry, XL-MS, quantitative, qXL-MS, mitochondria, yeast, Saccharomyces cerevisiae, carbon source, 
PXD018061	Viral hijacking of the TENT4-ZCCHC14 complex protects viral RNAs via mixed tailing	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Kim et al. (2020)	V. Narry Kim	2020-04-27	RNA modification, Viral RNA, RNA-Protein Interaction, 
PXD017385	Sample multiplexing for targeted pathway proteomics: application to aging mice	PRIDE	Mus musculus 	Orbitrap Fusion Lumos	Yu et al. (2020)	Steven P Gygi	2020-04-26	targeted pathway proteomics, tissue-specific aging, isobaric labeling, real-time instrument control, Tomahto, 
PXD015547	Comprehensive map of the Artemisia annua proteome and quantification of differential protein expression in chemotypes producing high vs low content of artemisinin	PRIDE	Artemisia annua (Sweet wormwood)	Orbitrap Fusion; Q Exactive	Chen et al. (2020)	Kexuan Tang	2020-04-26	Biology/Disease-Driven Human Proteome Project (B/D-HPP), Human Proteome Project, Biomedical, Artemisia annua, proteome, metabolism, Data dependent acquisition, Data independent acquisition
PXD018760	TARGETED PROTEOMICS FOR THE DETECTION OF SARS-COV-2 PROTEINS	PRIDE	Cercopithecus aethiops (Green monkey) 	Orbitrap Fusion Lumos	Dataset with its publication pending	Jeroen Demmers	2020-04-24	SARS-CoV-2, COVID-19, proteomics, targeted mass spectrometry, LC-MS, parallel reaction monitoring (PRM), limit of detection, 
PXD018682	MS analysis of SARS-CoV2 proteins from patient samples	PRIDE	Homo sapiens 	Orbitrap Fusion	Dataset with its publication pending	Andrea Sinz	2020-04-24	Biology/Disease-Driven Human Proteome Project (B/D-HPP), Human Proteome Project, COVID-19, Mass spectrometry, Nucleoprotein, SARS-CoV-2, 
PXD016220	Seminal plasma proteome of chicken with different sperm motility	PRIDE	Gallus gallus 	Orbitrap Fusion	Li et al. (2020)	Jilan Chen	2020-04-24	Chicken, seminal plasma, LC-MS/MS, sperm motility, label-free, 
PXD015060	Inhibition of spinal cord Hsp90 enhances morphine anti-nociception by activating an ERK/RSK pathway	PRIDE	Mus musculus 	Orbitrap Fusion Lumos	Duron et al. (2020)	Paul R. Langlais	2020-04-24	Hsp90, anti-nociception, ERK, spinal cord, 
PXD018387	Allosteric HSP70 inhibitors perturb mitochondrial proteostasis and overcome proteasome inhibitor resistance in multiple myeloma	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Dataset with its publication pending	Arun Wiita	2020-04-24	Multiple Myeloma, HSP70, TMT, pulsed-silac, 
PXD010425	Proteomic profiling of HT1080 fibrosarcoma cells of mesenchymal or amoeboid migratory phenotype	PRIDE	Homo sapiens 	Orbitrap Fusion	Čermák et al. (2020)	Jan Brábek	2020-04-23	Biological, fibrosarcoma, Human, amoeboid, cell migration ,, 
PXD014481	Lineage-specific Protein Interactomes of the Hox Transcription Factor Ubx revealed by Close-Proximity Protein Biotinylation	PRIDE	Drosophila melanogaster (Fruit fly)	Orbitrap Fusion	Carnesecchi et al. (2020)	Ingrid Lohmann	2020-04-22	BioID, Hox, Ultrabithorax, Ubx, close-proximity partners, interactome, PPI, Drosophila, interaction, transcription, development, close-proximity biotinylation, proteomics, 
PXD014414	Quantitative proteomic landscape of metaplastic breast carcinoma pathological subtypes and their relationship to triple-negative tumors	PRIDE	Mus musculus , Homo sapiens 	Orbitrap Fusion	Djomehri et al. (2020)	Celina G. Kleer	2020-04-22	metaplastic breast carcinoma, LC-MS/MS shotgun proteomics, tandem mass tag (TMT) labeling, triple-negative breast cancer, precision therapy, CCN6, WISP3, 
PXD017989	K-562 GalNAc-T1/2 Bump-and-hole Whole cell lysate proteomics data	PRIDE	Homo sapiens 	Orbitrap Fusion	Schumann et al. (2020)	Benjamin Schumann	2020-04-21	Human, K-562, glycoprotein, mucin, bioorthogonal, click, GalNAc-T, 
PXD018048	HepG2 GalNAc-T1/2 Bump-and-hole secretome glycopeptide data	PRIDE	Homo sapiens 	Orbitrap Fusion	Schumann et al. (2020)	Benjamin Schumann	2020-04-21	Human Proteome Project, Human, HepG2, liver, secretome, glycopeptide, bioorthogonal, click, GalNAc-T, 
PXD017030	Tryp-N: A thermostable protease for the production of N-terminal argininyl and lysinyl peptides	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Wilson et al. (2020)	Darryl J. Pappin	2020-04-21	Technical, proteomics, Tryp-N, thermostable, metalloprotease, lysine, arginine, LysargiNase, ulilysin, Lys-N, trypsin, 
PXD017023	Tryp-N: A thermostable protease for the production of N-terminal argininyl and lysinyl peptides	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Wilson et al. (2020)	Darryl J. Pappin	2020-04-21	Technical, proteomics, Tryp-N, thermostable, metalloprotease, lysine, arginine, LysargiNase, ulilysin, Lys-N, trypsin, 
PXD017048	Tryp-N: A thermostable protease for the production of N-terminal argininyl and lysinyl peptides	PRIDE	Escherichia coli	Orbitrap Fusion Lumos	Wilson et al. (2020)	Darryl J. Pappin	2020-04-21	Biological, proteomics, Tryp-N, thermostable, metalloprotease, lysine, arginine, LysargiNase, ulilysin, Lys-N, trypsin, 
PXD016864	HIGD2A is required for assembly of the COX3 module of human mitochondrial complex IV	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos; Q Exactive; LTQ Orbitrap Elite	Hock et al. (2020)	David A. Stroud	2020-04-21	OXPHOS, Cytochrome c oxidase, assembly factor, respirasome, hypoxia, 
PXD018186	RAP-MS analysis of LncRNA BGL3 interacting proteins in cells	PRIDE	Homo sapiens 	Orbitrap Fusion	Hu et al. (2020)	Huadong Pei	2020-04-21	LncRNA BGL3 LC-MS, 
PXD018075	Dissecting the Roles of Mitochondrial Complex I Intermediate Assembly (MCIA) Complex Factors in the Biogenesis of Complex I	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos; Q Exactive; LTQ Orbitrap Elite	Formosa et al. (2020)	David Arthur Stroud	2020-04-21	Assembly Factors, Complex I, MCIA complex, Mitochondria, NADH-ubiquinone dehydrogenase, Oxidative phosphorylation, 
PXD016958	Proteomic analysis of microdissected renal tubules	PRIDE	Rattus norvegicus 	Orbitrap Fusion Lumos	Limbutara, Chou & Knepper (2020)	Mark A. Knepper	2020-04-20	Biological, Kidney, Microdissection, Physiology, LC-MS/MS, Renal tubule, 
PXD015833	An Exported Kinase Family Mediates Species-Specific Erythrocyte Remodelling and Virulence in Human Malaria	PRIDE	Plasmodium knowlesi strain H, Plasmodium falciparum 3D7, Homo sapiens 	Orbitrap Fusion Lumos; Q Exactive	Dataset with its publication pending	Moritz Treeck	2020-04-17	Plasmodium, Phosphorylation, Malaria, FIKK kinases, Red blood cell, 
PXD018271	Antagonism of PP2A is an independent and conserved function of HIV-1 Vif and causes cell cycle arrest	PRIDE	Homo sapiens 	Orbitrap Fusion	Marelli et al. (2020)	Nicholas J Matheson	2020-04-16	HIV, Proteomics, PP2A, VIF, 
PXD015359	Cell-surface proteomics identifies differences in signalling and adhesion protein expression between naive and primed human pluripotent stem cells	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Wojdyla et al. (2020)	Peter Rugg-Gunn	2020-04-16	plasma membrane profilling, naive and primed human pluripotent stem cells, 
PXD012422	A comprehensive protein profile analysis from clinical Sialoliths and its practical implications	PRIDE	Homo sapiens 	Orbitrap Fusion	Busso et al. (2020)	Jessie J Guidry	2020-04-16	Biomedical, human sialoliths, protein fraction, disease, salivary duct, 
PXD016413	Degrasyn exhibits antibiotic activity against multi-resistant Staphylococcus aureus by modifying several essential cysteines	PRIDE	Staphylococcus aureus	Orbitrap Fusion; Q Exactive	Lee et al. (2020)	Stephan A. Sieber	2020-04-13	Biomedical, Antibioitcs, Chemoproteomics, isoDTB-ABPP, S. aureus, 
PXD017923	The Mammalian Cytosolic Thioredoxin Reductase Pathway Acts via a Membrane Protein to Reduce ER-localised Proteins	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Cao et al. (2020)	Sara Rossana Zanivan	2020-04-09	Protein Folding, Endoplasmic reticulum, Thioredoxin reductase system, SICyLIA Redox Proteomics, 
PXD017823	Full-featured, real-time database searching platform enables fast and accurate multiplexed quantitative proteomics.	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Schweppe et al. (2020)	Steven Gygi	2020-04-09	multiplexed, real-time search, Orbiter, 
PXD015835	A census of RNA/protein complexes in a model Gram-positive bacterium reveals exonuclease-mediated sRNA activation in competence regulation	PRIDE	Streptococcus pneumoniae TIGR4	LTQ Orbitrap Velos; Orbitrap Fusion	H�r et al. (2020)	J�rg Vogel	2020-04-08	Biomedical, Streptoccocus pneumoniae, Cbf1, YhaM, Grad-seq, 
PXD017039	Broad and thematic remodeling of the surface glycoproteome on isogenic cells tranformed with driving proliferative oncogenes	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos; Q Exactive	Leung et al. (2020)	James Wells	2020-04-07	Biological, Biomedical, Oncogenes, Glycoproteomics, Surfaceome, MAPK signaling pathway, 
PXD018373	Conserved protein Pir2ARS2 mediates gene repression through cryptic introns in lncRNAs	PRIDE	Homo sapiens 	Orbitrap Fusion	Thillainadesan et al. (2020)	Lisa M. Jenkins	2020-04-06	RIME, lncRNA, ARS2, 
PXD016735	Enhanced interactome capture (eRIC) of steady-state and arsenite stressed HuH7 cell cytoplasmic and nuclear fractions	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Backlund et al. (2020)	Andreas E. Kulozik	2020-04-06	Biological, Human, cell culture, arsenite, 
PXD017346	Selection of Heating Temperatures Improves the Sensitivity of Proteome Integral Solubility Alteration (PISA) Assay	PRIDE	Homo sapiens 	Orbitrap Fusion	Li et al. (2020)	Steven P Gygi	2020-04-05	Proteome Integral Solubility Alteration (PISA) Assay, human cell line lysate, LC-MS/MS, 
PXD015694	p300 and CBP are essential for skeletal muscle homeostasis, contractile function and survival	PRIDE	Mus musculus 	Orbitrap Fusion ETD	Svensson et al. (2020)	Dr. Simon Schenk	2020-04-02	Acetylation, acetyltransferases, transcriptomics, proteomics, muscle contraction, 
PXD014894	Proteomic analysis of NK cell-derived extracellular vesicles.	PRIDE	Homo sapiens 	Orbitrap Fusion	Federici et al. (2020)	serena camerini	2020-04-02	proteomics natural killer cells exosomes microvesicles, 
PXD016918	Middle-Down Proteomic Analyses with Ion Mobility Separations of Endogenous Isomeric Proteoforms	PRIDE	Mus musculus 	Orbitrap Fusion Lumos	Shliaha et al. (2020)	Ole N Jensen	2020-04-02	histones, middle down, FAIMS, ETD, 
PXD014342	A Pleistocene hominin enamel proteome from Homo antecessor	PRIDE	Homo	Orbitrap Fusion Lumos; Q Exactive HF; Q Exactive HF-X	Welker et al. (2020)	Enrico Cappellini	2020-04-01	Palaeoproteomics, LC-MS/MS, enamel, phosphorylation, hominins, 
